   Year      Death
   1950      0.0604
   1951      0.0604
   1952      0.0604
   1953      0.0604
   1954      0.0604
   1955      0.0486
   1956      0.0486
   1957      0.0486
   1958      0.0486
   1959      0.0486
   1960      0.0410
   1961      0.0410
   1962      0.0410
   1963      0.0410
   1964      0.0410
   1965      0.0332
   1966      0.0332
   1967      0.0332
   1968      0.0332
   1969      0.0332
   1970      0.0267
   1971      0.0267
   1972      0.0267
   1973      0.0267
   1974      0.0267
   1975      0.0179
   1976      0.0179
   1977      0.0179
   1978      0.0179
   1979      0.0179
   1980      0.0129
   1981      0.0129
   1982      0.0129
   1983      0.0129
   1984      0.0129
   1985      0.0097
   1986      0.0097
   1987      0.0097
   1988      0.0097
   1989      0.0097
   1990      0.0076
   1991      0.0076
   1992      0.0076
   1993      0.0076
   1994      0.0076
   1995      0.0056
   1996      0.0056
   1997      0.0056
   1998      0.0056
   1999      0.0056
   2000      0.0042
   2001      0.0042
   2002      0.0042
   2003      0.0042
   2004      0.0042
   2005      0.0034
   2006      0.0034
   2007      0.0034
   2008      0.0034
   2009      0.0034
   2010      0.0034
