Year    Age        ASFR
1954     12-    0.00000
1954     13     0.00015
1954     14     0.00056
1954     15     0.00202
1954     16     0.00550
1954     17     0.01267
1954     18     0.02457
1954     19     0.04127
1954     20     0.06324
1954     21     0.08524
1954     22     0.10659
1954     23     0.12690
1954     24     0.13870
1954     25     0.14309
1954     26     0.14977
1954     27     0.14705
1954     28     0.14170
1954     29     0.13507
1954     30     0.12968
1954     31     0.11868
1954     32     0.10990
1954     33     0.10244
1954     34     0.09357
1954     35     0.08800
1954     36     0.07833
1954     37     0.06919
1954     38     0.06126
1954     39     0.05166
1954     40     0.04209
1954     41     0.03420
1954     42     0.02523
1954     43     0.01741
1954     44     0.01095
1954     45     0.00603
1954     46     0.00293
1954     47     0.00122
1954     48     0.00052
1954     49     0.00020
1954     50     0.00008
1954     51     0.00004
1954     52     0.00002
1954     53     0.00001
1954     54     0.00000
1954     55+    0.00000
1955     12-    0.00000
1955     13     0.00014
1955     14     0.00059
1955     15     0.00215
1955     16     0.00576
1955     17     0.01299
1955     18     0.02500
1955     19     0.04170
1955     20     0.06357
1955     21     0.08631
1955     22     0.10944
1955     23     0.12410
1955     24     0.13900
1955     25     0.14626
1955     26     0.14643
1955     27     0.14707
1955     28     0.14393
1955     29     0.13408
1955     30     0.12826
1955     31     0.11862
1955     32     0.10929
1955     33     0.09918
1955     34     0.09237
1955     35     0.08315
1955     36     0.07832
1955     37     0.06761
1955     38     0.05866
1955     39     0.05077
1955     40     0.04111
1955     41     0.03251
1955     42     0.02422
1955     43     0.01633
1955     44     0.01007
1955     45     0.00581
1955     46     0.00264
1955     47     0.00112
1955     48     0.00039
1955     49     0.00020
1955     50     0.00009
1955     51     0.00004
1955     52     0.00002
1955     53     0.00001
1955     54     0.00000
1955     55+    0.00000
1956     12-    0.00000
1956     13     0.00020
1956     14     0.00061
1956     15     0.00234
1956     16     0.00623
1956     17     0.01330
1956     18     0.02529
1956     19     0.04254
1956     20     0.06481
1956     21     0.08856
1956     22     0.11212
1956     23     0.12928
1956     24     0.14076
1956     25     0.14958
1956     26     0.15134
1956     27     0.14479
1956     28     0.14235
1956     29     0.13498
1956     30     0.12834
1956     31     0.11677
1956     32     0.11011
1956     33     0.09862
1956     34     0.08940
1956     35     0.08246
1956     36     0.07395
1956     37     0.06678
1956     38     0.05758
1956     39     0.04850
1956     40     0.04063
1956     41     0.03070
1956     42     0.02369
1956     43     0.01593
1956     44     0.00967
1956     45     0.00546
1956     46     0.00274
1956     47     0.00115
1956     48     0.00042
1956     49     0.00017
1956     50     0.00005
1956     51     0.00003
1956     52     0.00001
1956     53     0.00001
1956     54     0.00000
1956     55+    0.00000
1957     12-    0.00000
1957     13     0.00019
1957     14     0.00063
1957     15     0.00247
1957     16     0.00605
1957     17     0.01360
1957     18     0.02532
1957     19     0.04163
1957     20     0.06334
1957     21     0.08859
1957     22     0.11259
1957     23     0.13108
1957     24     0.14333
1957     25     0.15078
1957     26     0.15241
1957     27     0.14908
1957     28     0.14162
1957     29     0.13668
1957     30     0.12825
1957     31     0.11861
1957     32     0.10851
1957     33     0.10007
1957     34     0.08956
1957     35     0.07990
1957     36     0.07263
1957     37     0.06344
1957     38     0.05694
1957     39     0.04791
1957     40     0.03820
1957     41     0.03014
1957     42     0.02213
1957     43     0.01526
1957     44     0.00928
1957     45     0.00520
1957     46     0.00235
1957     47     0.00110
1957     48     0.00040
1957     49     0.00019
1957     50     0.00021
1957     51     0.00014
1957     52     0.00006
1957     53     0.00002
1957     54     0.00000
1957     55+    0.00000
1958     12-    0.00000
1958     13     0.00022
1958     14     0.00064
1958     15     0.00207
1958     16     0.00603
1958     17     0.01312
1958     18     0.02464
1958     19     0.04133
1958     20     0.06180
1958     21     0.08529
1958     22     0.11175
1958     23     0.13147
1958     24     0.14613
1958     25     0.15094
1958     26     0.15254
1958     27     0.15165
1958     28     0.14670
1958     29     0.13387
1958     30     0.12831
1958     31     0.11753
1958     32     0.10848
1958     33     0.09779
1958     34     0.08949
1958     35     0.07864
1958     36     0.06975
1958     37     0.06181
1958     38     0.05270
1958     39     0.04639
1958     40     0.03767
1958     41     0.02882
1958     42     0.02118
1958     43     0.01405
1958     44     0.00855
1958     45     0.00487
1958     46     0.00224
1958     47     0.00105
1958     48     0.00039
1958     49     0.00015
1958     50     0.00005
1958     51     0.00003
1958     52     0.00001
1958     53     0.00001
1958     54     0.00000
1958     55+    0.00000
1959     12-    0.00000
1959     13     0.00017
1959     14     0.00070
1959     15     0.00257
1959     16     0.00656
1959     17     0.01435
1959     18     0.02587
1959     19     0.04397
1959     20     0.06555
1959     21     0.08892
1959     22     0.11513
1959     23     0.13616
1959     24     0.15176
1959     25     0.15996
1959     26     0.16053
1959     27     0.15606
1959     28     0.15116
1959     29     0.14248
1959     30     0.13067
1959     31     0.12132
1959     32     0.11119
1959     33     0.09873
1959     34     0.09001
1959     35     0.08125
1959     36     0.07095
1959     37     0.06163
1959     38     0.05455
