age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
TOTAL,FOR,NR,F,AT	43786 	39238 	34895 	30323 	29420 	32405 	31751 	39050 	45842 	48874 	44464 	39860 b	34831 	33033 	35813 	28648 
TOTAL,FOR,NR,F,BA	: 	: 	: 	: 	: 	: 	2942 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,BE	48862 	60833 	60952 	57172 b	: 	: 	52709 	49847 	48787 	42604 	40118 	40608 	39605 	31296 	33021 	29382 
TOTAL,FOR,NR,F,BG	5544 p	3346 	: 	: 	: 	37 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,CH	64459 	59265 	59482 b	66023 	65680 	73807 	65028 	50435 	47350 	49227 	: 	51636 	48591 	42250 	: 	36508 
TOTAL,FOR,NR,F,CY	6117 	10815 	11702 	10556 	: 	6106 	10684 	9311 	12621 	10638 	7168 	6763 	6647 	6045 	: 	: 
TOTAL,FOR,NR,F,CZ	10735 	12156 	8184 	13116 	20973 	31183 b	39916 	25362 	21667 	17797 	19171 	16532 	4835 	2190 	3405 	: 
TOTAL,FOR,NR,F,DE	254772 	214641 	172174 	142589 	123805 b	228943 	231307 	224744 	239556 	250093 	253656 	277059 	282471 	265996 	278086 	239000 
TOTAL,FOR,NR,F,DK	19812 	17495 	16872 	16972 	16624 	17840 b	20204 	16459 	15067 	14182 	13867 	15628 	16961 	15504 	14230 	14315 
TOTAL,FOR,NR,F,EE	718 	494 	724 	489 	859 	771 b	823 	625 	371 	331 	: 	: 	: 	: 	: 	325 
TOTAL,FOR,NR,F,EL	14490 	14805 	15286 	16250 	16750 	19970 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	7178 
TOTAL,FOR,NR,F,ES	125369 	138903 	172761 	168790 	187013 	272966 b	418366 	379974 	312149 	291122 	283183 b	210386 	183468 	152875 	49084 	28639 
TOTAL,FOR,NR,F,FI	11185 	10926 	9611 	8235 	8303 	8653 	7984 	6505 	6118 	5629 	4689 	4090 	3974 	3804 	3990 	4319 
TOTAL,FOR,NR,F,FR	115382 	113553 	106233 	103106 	92392 	90867 	90570 	90593 b	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,HR	2584 	2331 	1957 	: 	: 	1167 	533 	604 	: 	870 	1339 	1230 	1347 	: 	: 	: 
TOTAL,FOR,NR,F,HU	9221 	8790 	9908 	10401 b	10993 	14575 b	9854 	10413 	10981 	9809 	8123 	7918 	9678 	9938 	10061 	7623 
TOTAL,FOR,NR,F,IE	24781 p	20559 	18853 	16695 	16711 	31968 	49881 	50158 b	37850 	25950 	20025 	20775 	19700 	15200 	12900 	11375 
TOTAL,FOR,NR,F,IS	1693 	1301 	1090 	1096 	1229 b	2931 	3054 	: 	: 	: 	: 	1025 	: 	1289 	: 	978 
TOTAL,FOR,NR,F,IT	146620 	165784 	185601 	235649 	224716 p	268685 p	281135 	141064 	151921 	195145 	219128 	81670 	86524 	91731 	74677 	70064 
TOTAL,FOR,NR,F,KG	: 	: 	: 	: 	: 	: 	226 	0 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,LI	259 	243 	235 	213 	196 	191 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,LT	1055 	804 	605 	454 	636 	683 	807 	777 	766 	874 	1474 	1892 	1647 	361 	835 	800 
TOTAL,FOR,NR,F,LU	9088 	8900 	8639 	7165 	6770 	7633 	7321 	6287 	6439 	5424 	5777 	5088 	5131 	4928 	5467 	4864 
TOTAL,FOR,NR,F,LV	1402 	1343 	924 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	661 	725 
TOTAL,FOR,NR,F,ME	: 	2086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,MK	: 	631 	611 	: 	: 	566 	694 	1143 	1540 	846 	: 	1148 	: 	: 	: 	: 
TOTAL,FOR,NR,F,MT	2410 	2122 	1546 	1470 	1854 	1476 b	2261 	365 	: 	: 	: 	: 	221 	: 	: 	: 
TOTAL,FOR,NR,F,NL	46600 	41953 	42611 	40239 	38110 b	45835 	39262 	34035 	33096 	34609 	37872 	43014 	45363 	44304 	38476 	40041 
TOTAL,FOR,NR,F,NO	27588 	28053 	27141 	26623 	22698 	22422 b	21726 	16805 	15487 	14281 	: 	16091 	12984 	13032 	: 	13490 
TOTAL,FOR,NR,F,PL	34879 	33380 	23971 	20746 	21365 b	5544 b	917 	949 	615 	702 	227 	117 	150 	178 	223 	833 
TOTAL,FOR,NR,F,PT	2692 	2775 	4039 	4293 	7487 	13865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,RO	5960 	4522 	3844 	5125 	4563 	5019 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,RU	: 	: 	: 	: 	: 	: 	30595 	7945 	7646 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,SE	45254 	39600 	35676 	36569 	40367 	39931 	38266 	37572 	25068 	24218 	24272 	23511 	22070 	21446 	17843 	18274 
TOTAL,FOR,NR,F,SI	4462 	4719 	4229 	4395 	6069 	5720 b	4765 	3526 	3201 	2048 	2476 	2279 	1999 	1362 	625 	1375 
TOTAL,FOR,NR,F,SK	806 	972 b	1258 b	4374 	5162 	5084 	4664 	3937 	2538 	2920 	1767 b	202 	260 	: 	: 	: 
TOTAL,FOR,NR,F,TR	: 	: 	15233 	16060 	13159 	11907 	10864 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,F,UK	227928 	207948 	221830 	218768 	216357 	242214 b	204459 	209994 	182812 	220176 	159289 	144290 	134563 	123816 	: 	: 
TOTAL,FOR,NR,F,US	: 	: 	: 	: 	: 	: 	: 	: 	: 	554344 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,AT	48799 	44004 	39224 	31805 	30813 	32497 	32443 	43849 	52153 	55372 	48877 	46284 b	39955 	34849 	36566 	30581 
TOTAL,FOR,NR,M,BA	: 	: 	: 	: 	: 	: 	2678 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,BE	51598 	68841 	64975 	59182 b	: 	: 	57217 	52025 	49101 	41356 	38628 	42760 	42623 	31613 	34047 	30284 
TOTAL,FOR,NR,M,BG	8250 p	5779 	: 	: 	: 	50 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,CH	69630 	65770 	65204 b	73406 	72589 	87822 	78827 	56742 	51741 	51607 	: 	52118 	49572 	41950 	: 	35694 
TOTAL,FOR,NR,M,CY	5390 	5360 	9254 	7752 	: 	3725 	7380 	5224 	9258 	9605 	7617 	5453 	7219 	5562 	: 	: 
TOTAL,FOR,NR,M,CZ	14063 	15414 	10787 	16934 	32903 	51894 b	62595 	40763 	36909 	33007 	38267 	27116 	6488 	2037 	3405 	: 
TOTAL,FOR,NR,M,DE	352027 	288969 	226739 	174604 	142299 b	343529 	343445 	333723 	339745 	352089 	348103 	381282 	402788 	383253 	395787 	366500 
TOTAL,FOR,NR,M,DK	21530 	18261 	17690 	16745 	15881 	19648 b	22419 	17822 	14922 	13688 	13825 	14969 	16693 	15306 	13653 	14515 
TOTAL,FOR,NR,M,EE	919 	612 	950 	708 	1369 	1158 b	1129 	863 	610 	428 	: 	: 	: 	: 	: 	338 
TOTAL,FOR,NR,M,EL	16812 	17201 	17760 	19134 	19073 	21489 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	5452 
TOTAL,FOR,NR,M,ES	122981 	133579 	163120 	161490 	178347 	294399 b	502168 	422997 	370562 	354722 	309540 b	232699 	210580 	178006 	50038 	28556 
TOTAL,FOR,NR,M,FI	12211 	11913 	10538 	9668 	9500 	11031 	9520 	7363 	6626 	5882 	4743 	76 	71 	87 	3947 	4021 
TOTAL,FOR,NR,M,FR	101856 	98126 	93929 	89764 	79310 	80364 	77664 	80302 b	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,HR	2702 	2420 	1853 	: 	: 	847 	382 	425 	: 	656 	761 	767 	812 	: 	: 	: 
TOTAL,FOR,NR,M,HU	12029 	11549 	12397 	13312 b	14589 	20972 b	12753 	13156 	14601 	12355 	11242 	10054 	10630 	10246 	10090 	8429 
TOTAL,FOR,NR,M,IE	21818 p	17332 	14438 	15947 	15631 	28574 	47588 	59654 b	49975 	34100 	22000 	21000 	18400 	16275 	13500 	10700 
TOTAL,FOR,NR,M,IS	1911 	1349 	1115 	1173 	1279 b	4540 	6264 	: 	: 	: 	: 	830 	: 	1173 	: 	797 
TOTAL,FOR,NR,M,IT	132401 	155521 	168726 	188850 	182009 p	227864 p	234066 	113524 	130859 	199611 	205728 	80244 	86312 	100826 	78223 	57050 
TOTAL,FOR,NR,M,KG	: 	: 	: 	: 	: 	: 	252 	0 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,LI	272 	257 	253 	218 	220 	226 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,LT	1981 	1682 	1068 	606 	1030 	2277 	1661 	1460 	1318 	1282 	1941 	2409 	2333 	308 	809 	728 
TOTAL,FOR,NR,M,LU	10647 	10501 	10424 	8584 	7826 	9095 	8445 	7444 	7320 	6821 	6777 	5900 	5924 	5864 	6309 	5741 
TOTAL,FOR,NR,M,LV	2122 	2323 	1937 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	744 	1150 
TOTAL,FOR,NR,M,ME	: 	3030 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,MK	: 	541 	504 	: 	: 	266 	260 	447 	607 	329 	: 	388 	: 	: 	: 	: 
TOTAL,FOR,NR,M,MT	4194 	3233 	2274 	1917 	3042 	3235 b	3298 	293 	: 	: 	: 	: 	251 	: 	: 	: 
